Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,Unnamed_9,Unnamed_10,Date
ACLBSL,1030.0,-3.47,"1,068.50","1,025.00","1,045.70","6,640",,,,,2024-12-15 01:55:11
ADBL,333.0,-0.89,342.70,329.00,342.70,"27,811",,,,,2024-12-15 01:55:11
AHL,734.0,-0.41,769.00,725.00,725.00,"16,085",,,,,2024-12-15 01:55:11
AHPC,265.1,-2.18,272.30,265.10,270.00,"73,171",,,,,2024-12-15 01:55:11
AKJCL,209.5,-2.56,219.30,209.00,219.30,"195,728",,,,,2024-12-15 01:55:11
AKPL,245.5,-2.19,255.00,244.00,251.10,"107,891",,,,,2024-12-15 01:55:11
ALBSL,842.0,-1.17,867.90,835.00,852.00,"3,029",,,,,2024-12-15 01:55:11
ALICL,728.5,-1.15,740.00,727.20,728.00,"8,903",,,,,2024-12-15 01:55:11
ANLB,5095.9,2,"5,095.90","4,897.00","4,897.10",989,,,,,2024-12-15 01:55:11
API,273.5,-1.62,279.90,273.50,279.00,"98,358",,,,,2024-12-15 01:55:11
AVYAN,1120.0,-2.01,"1,144.40","1,099.10","1,122.00","9,708",,,,,2024-12-15 01:55:11
BARUN,429.0,-2.46,444.70,427.30,440.00,"68,461",,,,,2024-12-15 01:55:11
BBC,6440.1,-1.3,"6,630.00","6,403.10","6,502.00","1,573",,,,,2024-12-15 01:55:11
BEDC,637.0,5.99,659.90,610.00,610.00,"121,223",,,,,2024-12-15 01:55:11
BFC,776.0,-0.4,826.00,774.10,794.00,"95,067",,,,,2024-12-15 01:55:11
BGWT,984.0,-1.5,"1,016.00",971.10,"1,000.00","2,877",,,,,2024-12-15 01:55:11
BHDC,647.3,-1.48,670.00,647.10,670.00,"16,110",,,,,2024-12-15 01:55:11
BHL,363.0,-1.33,372.00,362.10,370.00,"8,023",,,,,2024-12-15 01:55:11
BHPL,787.0,1.17,817.00,770.00,770.00,"15,690",,,,,2024-12-15 01:55:11
BNHC,507.1,-0.57,517.00,507.10,511.10,"12,614",,,,,2024-12-15 01:55:11
BNL,16464.0,-2,"16,464.00","16,464.00","16,464.00",10,,,,,2024-12-15 01:55:11
BNT,14425.0,-0.16,"14,425.00","14,160.20","14,215.00",231,,,,,2024-12-15 01:55:11
BPCL,411.9,-1.22,423.90,408.00,417.00,"19,202",,,,,2024-12-15 01:55:11
C30MF,9.92,1.74,9.92,9.92,9.92,100,,,,,2024-12-15 01:55:11
CBBL,930.6,-0.49,953.90,925.00,953.90,"13,015",,,,,2024-12-15 01:55:11
CBLD88,1120.0,-0.88,"1,140.00","1,120.00","1,140.00",125,,,,,2024-12-15 01:55:11
CFCL,641.0,-3.61,675.00,640.00,665.00,"36,441",,,,,2024-12-15 01:55:11
CGH,919.0,-1.5,948.00,917.20,947.90,"23,893",,,,,2024-12-15 01:55:11
CHCL,560.0,-1.75,577.00,555.00,570.00,"40,706",,,,,2024-12-15 01:55:11
CHDC,1644.0,-1.73,"1,706.40","1,630.00","1,706.40","28,083",,,,,2024-12-15 01:55:11
CHL,427.0,1.91,435.00,422.10,422.10,"82,473",,,,,2024-12-15 01:55:11
CIT,2180.0,0.28,"2,195.00","2,160.00","2,174.00","8,849",,,,,2024-12-15 01:55:11
CITY,902.0,-2.91,936.00,902.00,910.50,"9,209",,,,,2024-12-15 01:55:11
CKHL,692.1,-1.68,717.90,692.00,717.00,"10,189",,,,,2024-12-15 01:55:11
CLI,687.0,-1.29,700.00,687.00,691.00,"39,431",,,,,2024-12-15 01:55:11
CMF1,10.62,0.28,10.62,10.59,10.59,"8,380",,,,,2024-12-15 01:55:11
CMF2,9.59,0.52,9.59,9.41,9.50,"13,850",,,,,2024-12-15 01:55:11
CORBL,1685.0,2.93,"1,702.30","1,572.40","1,604.40","8,135",,,,,2024-12-15 01:55:11
CYCL,1658.0,-0.18,"1,727.80","1,600.00","1,630.00","6,565",,,,,2024-12-15 01:55:11
CZBIL,220.0,-3.04,231.40,220.00,231.40,"89,740",,,,,2024-12-15 01:55:11
DDBL,875.1,0.89,880.00,867.10,880.00,"4,001",,,,,2024-12-15 01:55:11
DHPL,312.0,-3.41,326.00,307.00,323.00,"49,698",,,,,2024-12-15 01:55:11
DLBS,1600.0,-1.84,"1,665.60","1,536.00","1,597.40","1,768",,,,,2024-12-15 01:55:11
DOLTI,669.0,-2.63,691.20,665.00,690.00,"54,313",,,,,2024-12-15 01:55:11
DORDI,543.0,-2.86,575.00,543.00,560.00,"83,712",,,,,2024-12-15 01:55:11
EBL,596.0,-0.65,610.00,591.00,610.00,"15,579",,,,,2024-12-15 01:55:11
EBLD85,1120.0,-0.01,"1,120.00","1,120.00","1,120.00",25,,,,,2024-12-15 01:55:11
EDBL,659.0,-2.73,680.00,656.60,680.00,"47,398",,,,,2024-12-15 01:55:11
EHPL,736.0,-0.27,751.00,730.00,738.00,"5,131",,,,,2024-12-15 01:55:11
ENL,1281.0,-6.24,"1,393.00","1,281.00","1,393.00","7,648",,,,,2024-12-15 01:55:11
FMDBL,770.1,1.06,799.00,762.00,774.20,"80,877",,,,,2024-12-15 01:55:11
FOWAD,1255.0,-1.18,"1,290.00","1,220.10","1,289.90","5,729",,,,,2024-12-15 01:55:11
GBBL,439.0,-1.04,448.50,437.00,448.50,"28,737",,,,,2024-12-15 01:55:11
GBILD84/85,1127.0,0.35,"1,127.00","1,127.00","1,127.00",35,,,,,2024-12-15 01:55:11
GBIME,226.0,-2.8,237.10,226.00,237.10,"166,841",,,,,2024-12-15 01:55:11
GBIMEP,100.0,0,100.00,100.00,100.00,"250,000",,,,,2024-12-15 01:55:11
GBLBS,781.0,-0.52,805.00,781.00,800.00,"10,326",,,,,2024-12-15 01:55:11
GCIL,488.0,1.06,504.90,480.00,480.00,"71,100",,,,,2024-12-15 01:55:11
GFCL,842.0,-1.29,860.00,840.00,855.00,"29,665",,,,,2024-12-15 01:55:11
GHL,218.2,-1.71,224.30,218.00,222.10,"59,197",,,,,2024-12-15 01:55:11
GIBF1,10.04,0.3,10.21,9.96,9.96,"11,100",,,,,2024-12-15 01:55:11
GILB,1260.0,-1.56,"1,331.00","1,255.00","1,299.50","1,766",,,,,2024-12-15 01:55:11
GLBSL,2150.0,-4.87,"2,240.00","2,130.00","2,215.10","7,193",,,,,2024-12-15 01:55:11
GLH,249.0,-1.81,258.00,248.60,256.60,"22,794",,,,,2024-12-15 01:55:11
GMFBS,1790.0,-3.45,"1,870.00","1,790.00","1,870.00","2,358",,,,,2024-12-15 01:55:11
GMFIL,617.0,-3.29,650.00,615.00,650.00,"14,717",,,,,2024-12-15 01:55:11
GRDBL,1000.0,-3.19,"1,045.00",986.10,"1,045.00","30,465",,,,,2024-12-15 01:55:11
GUFL,720.0,-2.96,746.00,720.00,746.00,"17,291",,,,,2024-12-15 01:55:11
GVL,547.0,-0.91,565.00,543.30,552.00,"16,276",,,,,2024-12-15 01:55:11
H8020,10.15,-0.49,10.15,10.12,10.12,"157,449",,,,,2024-12-15 01:55:11
HATHY,1382.6,-2.98,"1,436.00","1,382.00","1,408.00","18,277",,,,,2024-12-15 01:55:11
HBL,247.0,-0.4,252.90,241.00,252.90,"28,762",,,,,2024-12-15 01:55:11
HDHPC,207.5,-2.17,213.00,207.20,213.00,"118,002",,,,,2024-12-15 01:55:11
HDL,1350.0,-1.1,"1,392.30","1,350.00","1,392.30","46,380",,,,,2024-12-15 01:55:11
HEI,642.0,-0.93,652.00,640.00,648.60,"19,004",,,,,2024-12-15 01:55:11
HEIP,500.0,2.67,500.00,479.00,479.00,"1,577",,,,,2024-12-15 01:55:11
HHL,512.0,-1.52,535.00,512.00,527.90,"55,500",,,,,2024-12-15 01:55:11
HIDCL,249.9,-1.61,257.00,249.90,257.00,"79,664",,,,,2024-12-15 01:55:11
HIDCLP,170.0,-1.16,178.00,168.80,174.00,"111,651",,,,,2024-12-15 01:55:11
HLBSL,971.1,-3.66,"1,004.00",971.00,990.30,"5,953",,,,,2024-12-15 01:55:11
HLI,463.4,-1.61,472.00,463.30,466.30,"30,772",,,,,2024-12-15 01:55:11
HPPL,408.0,-1.21,418.80,408.00,415.00,"56,982",,,,,2024-12-15 01:55:11
HRL,820.0,-0.41,839.80,819.00,839.80,"92,638",,,,,2024-12-15 01:55:11
HURJA,241.3,-1.91,248.00,239.00,246.00,"143,021",,,,,2024-12-15 01:55:11
ICFC,717.9,-0.29,734.40,708.00,720.00,"24,891",,,,,2024-12-15 01:55:11
IGI,599.0,-1.48,613.00,598.00,610.00,"20,412",,,,,2024-12-15 01:55:11
IHL,682.1,-6.43,727.00,682.10,717.10,"40,684",,,,,2024-12-15 01:55:11
ILBS,990.0,-0.7,"1,009.00",961.10,978.10,"2,809",,,,,2024-12-15 01:55:11
ILI,479.0,-1.01,489.00,478.00,489.00,"25,553",,,,,2024-12-15 01:55:11
JBBD87,1061.1,-0.27,"1,061.10","1,061.10","1,061.10",25,,,,,2024-12-15 01:55:11
JBBL,380.0,-2.54,390.50,378.00,385.00,"78,833",,,,,2024-12-15 01:55:11
JBLB,1545.0,-2.09,"1,580.00","1,545.00","1,575.00","4,094",,,,,2024-12-15 01:55:11
JFL,885.9,-7.41,950.00,861.20,937.70,"293,919",,,,,2024-12-15 01:55:11
JOSHI,414.0,-5.44,464.10,406.90,429.10,"352,579",,,,,2024-12-15 01:55:11
JSLBB,1590.0,-3.58,"1,665.00","1,572.00","1,665.00","3,554",,,,,2024-12-15 01:55:11
KBL,219.9,-1.83,228.40,218.00,228.40,"230,808",,,,,2024-12-15 01:55:11
KBLPO,100.0,0,100.00,100.00,100.00,"5,013",,,,,2024-12-15 01:55:11
KBSH,3000.0,6.64,"3,040.00","2,648.00","2,756.90","7,541",,,,,2024-12-15 01:55:11
KDBY,9.66,1.15,9.66,9.36,9.36,"25,705",,,,,2024-12-15 01:55:11
KDL,1170.0,0.26,"1,185.00","1,145.10","1,168.00","11,739",,,,,2024-12-15 01:55:11
KEF,9.02,-0.99,9.15,9.00,9.10,"23,300",,,,,2024-12-15 01:55:11
KKHC,400.0,-4.53,417.50,391.00,417.00,"128,534",,,,,2024-12-15 01:55:11
KMCDB,1124.8,-0.02,"1,145.00","1,090.00","1,107.00","4,637",,,,,2024-12-15 01:55:11
KPCL,537.2,-1.61,553.00,537.20,553.00,"25,864",,,,,2024-12-15 01:55:11
KRBL,812.0,-1.8,860.00,806.60,820.00,"81,169",,,,,2024-12-15 01:55:11
KSBBL,456.0,-1.94,469.00,450.00,465.10,"18,708",,,,,2024-12-15 01:55:11
KSBBLD87,1070.0,-0.93,"1,070.00","1,070.00","1,070.00",25,,,,,2024-12-15 01:55:11
KSY,8.8,-1.46,9.11,8.78,8.91,"22,950",,,,,2024-12-15 01:55:11
LBBL,494.0,-2.56,512.90,494.00,498.00,"51,281",,,,,2024-12-15 01:55:11
LBBLD89,1255.0,0,"1,255.00","1,255.00","1,255.00",75,,,,,2024-12-15 01:55:11
LEC,213.9,-0.79,217.90,212.10,217.90,"51,499",,,,,2024-12-15 01:55:11
LICN,1229.0,-2.69,"1,279.00","1,229.00","1,255.00","20,092",,,,,2024-12-15 01:55:11
LLBS,1162.0,-1.78,"1,184.20","1,161.00","1,183.00","9,967",,,,,2024-12-15 01:55:11
LSL,238.0,-2.06,247.80,237.00,247.80,"68,278",,,,,2024-12-15 01:55:11
LUK,9.8,0.51,9.80,9.57,9.75,"10,200",,,,,2024-12-15 01:55:11
LVF2,9.55,-1.14,9.55,9.34,9.47,"1,300",,,,,2024-12-15 01:55:11
MAKAR,638.0,-0.62,653.00,632.00,643.00,"17,105",,,,,2024-12-15 01:55:11
MANDU,901.1,-1.09,920.00,900.00,920.00,"5,375",,,,,2024-12-15 01:55:11
MATRI,1274.1,-0.65,"1,310.00","1,274.10","1,282.50","2,389",,,,,2024-12-15 01:55:11
MBJC,352.0,-2.06,365.00,351.00,359.00,"37,681",,,,,2024-12-15 01:55:11
MBL,245.0,-2.78,252.00,244.00,252.00,"51,679",,,,,2024-12-15 01:55:11
MCHL,579.0,-1.86,609.00,578.30,601.00,"22,772",,,,,2024-12-15 01:55:11
MDB,745.0,-1.97,770.00,740.00,750.00,"68,979",,,,,2024-12-15 01:55:11
MEHL,472.0,3.51,489.80,451.20,456.00,"97,065",,,,,2024-12-15 01:55:11
MEL,319.5,-1.99,329.40,317.70,320.00,"57,411",,,,,2024-12-15 01:55:11
MEN,706.0,-1.67,718.00,704.00,718.00,"38,550",,,,,2024-12-15 01:55:11
MERO,727.0,-0.14,740.00,721.10,738.00,"3,726",,,,,2024-12-15 01:55:11
MFIL,707.0,-0.7,726.00,707.00,720.00,"38,697",,,,,2024-12-15 01:55:11
MHCL,574.3,5.38,592.00,536.20,536.20,"245,684",,,,,2024-12-15 01:55:11
MHL,882.0,-1.9,882.00,866.00,882.00,"4,320",,,,,2024-12-15 01:55:11
MHNL,274.6,-2.62,287.60,274.60,287.60,"17,867",,,,,2024-12-15 01:55:11
MKCL,1550.0,-0.64,"1,591.00","1,550.00","1,560.10","3,592",,,,,2024-12-15 01:55:11
MKHC,554.0,4.47,559.00,519.70,540.90,"51,876",,,,,2024-12-15 01:55:11
MKHL,655.0,2.34,691.40,638.00,643.80,"59,931",,,,,2024-12-15 01:55:11
MKJC,560.0,0.54,569.00,553.00,555.50,"45,299",,,,,2024-12-15 01:55:11
MLBBL,1660.0,-2.24,"1,699.60","1,651.00","1,670.00","6,488",,,,,2024-12-15 01:55:11
MLBL,405.0,-2.36,415.00,403.10,415.00,"40,078",,,,,2024-12-15 01:55:11
MLBS,2081.0,-1.37,"2,195.00","2,070.10","2,125.00","4,848",,,,,2024-12-15 01:55:11
MLBSL,2303.0,-3.64,"2,429.00","2,280.00","2,389.00","1,645",,,,,2024-12-15 01:55:11
MMF1,9.14,1.56,9.36,8.95,8.95,"6,140",,,,,2024-12-15 01:55:11
MMKJL,747.0,-2.35,830.00,737.00,780.30,"61,075",,,,,2024-12-15 01:55:11
MNBBL,394.8,-0.55,399.90,393.00,399.70,"29,834",,,,,2024-12-15 01:55:11
MPFL,740.0,-2.37,770.00,735.00,760.00,"14,510",,,,,2024-12-15 01:55:11
MSHL,1039.0,4.84,"1,063.00",990.00,990.00,"48,640",,,,,2024-12-15 01:55:11
MSLB,1611.0,-0.56,"1,630.00","1,562.00","1,588.30","3,274",,,,,2024-12-15 01:55:11
NABBC,1355.0,7.54,"1,361.00","1,186.00","1,234.80","53,773",,,,,2024-12-15 01:55:11
NABIL,520.0,-1.52,538.50,518.30,535.00,"56,954",,,,,2024-12-15 01:55:11
NABILD87,1068.5,-0.14,"1,090.30","1,068.50","1,090.30",45,,,,,2024-12-15 01:55:11
NADEP,989.0,-0.39,"1,000.00",975.00,"1,000.00","3,471",,,,,2024-12-15 01:55:11
NBF2,9.59,1.91,9.59,9.26,9.50,"61,000",,,,,2024-12-15 01:55:11
NBF3,9.32,-2.2,9.91,9.30,9.34,"70,474",,,,,2024-12-15 01:55:11
NBL,268.5,-3.07,282.50,268.20,282.50,"42,271",,,,,2024-12-15 01:55:11
NBLD87,1034.0,0.39,"1,034.00","1,034.00","1,034.00",25,,,,,2024-12-15 01:55:11
NESDO,2228.0,0.46,"2,250.00","2,175.20","2,250.00",854,,,,,2024-12-15 01:55:11
NFS,1087.0,-3.38,"1,137.90","1,085.00","1,125.00","83,171",,,,,2024-12-15 01:55:11
NGPL,278.9,0.29,285.10,275.50,279.00,"127,387",,,,,2024-12-15 01:55:11
NHDL,754.8,-1.06,770.50,748.10,748.10,"10,126",,,,,2024-12-15 01:55:11
NHPC,223.5,-2.4,231.50,222.50,230.00,"130,847",,,,,2024-12-15 01:55:11
NIBLGF,8.96,0.9,9.00,8.73,8.73,"1,200",,,,,2024-12-15 01:55:11
NIBLSTF,9.01,-1.85,9.36,9.00,9.00,"4,320",,,,,2024-12-15 01:55:11
NIBSF2,8.65,0.82,8.78,8.48,8.61,"26,400",,,,,2024-12-15 01:55:11
NICA,403.0,-2.89,423.30,402.80,423.30,"84,801",,,,,2024-12-15 01:55:11
NICAD8283,1102.0,-0.18,"1,104.00","1,104.00","1,104.00",1,,,,,2024-12-15 01:55:11
NICBF,9.51,3.03,9.52,9.33,9.33,"15,448",,,,,2024-12-15 01:55:11
NICD88,1031.0,0.1,"1,031.00","1,031.00","1,031.00",25,,,,,2024-12-15 01:55:11
NICFC,9.33,-0.21,9.42,9.22,9.22,"4,180",,,,,2024-12-15 01:55:11
NICGF,10.99,0.83,10.99,10.74,10.74,"15,200",,,,,2024-12-15 01:55:11
NICGF2,8.96,-0.44,9.04,8.83,8.83,"1,700",,,,,2024-12-15 01:55:11
NICL,975.0,-0.61,988.00,971.00,982.00,"11,099",,,,,2024-12-15 01:55:11
NICLBSL,690.0,1.02,705.00,683.50,683.50,"7,264",,,,,2024-12-15 01:55:11
NICSF,9.51,0.11,9.52,9.44,9.44,"10,600",,,,,2024-12-15 01:55:11
NIFRA,255.3,-1.81,263.00,254.80,260.00,"77,784",,,,,2024-12-15 01:55:11
NIL,930.0,-1.06,949.00,930.00,940.00,"12,881",,,,,2024-12-15 01:55:11
NIMB,221.1,-2.6,231.50,221.00,231.50,"108,790",,,,,2024-12-15 01:55:11
NIMBD90,1125.0,-0.88,"1,125.10","1,122.00","1,122.00",50,,,,,2024-12-15 01:55:11
NIMBPO,172.0,1.78,172.00,167.00,167.00,"1,544",,,,,2024-12-15 01:55:11
NLG,940.0,0.21,948.60,910.10,943.50,"36,278",,,,,2024-12-15 01:55:11
NLIC,787.0,-1.38,809.50,787.00,800.00,"41,496",,,,,2024-12-15 01:55:11
NLICL,593.0,-0.34,604.50,587.00,604.50,"9,952",,,,,2024-12-15 01:55:11
NMB,247.0,-0.4,252.90,242.20,252.90,"92,372",,,,,2024-12-15 01:55:11
NMB50,10.88,0,10.88,10.75,10.75,"7,000",,,,,2024-12-15 01:55:11
NMBD87/88,1035.0,-1.96,"1,035.00","1,035.00","1,035.00",50,,,,,2024-12-15 01:55:11
NMBD89/90,1135.5,-0.59,"1,135.50","1,135.50","1,135.50",25,,,,,2024-12-15 01:55:11
NMBMF,708.0,-1.94,735.80,702.20,735.80,"1,887",,,,,2024-12-15 01:55:11
NMFBS,1281.1,-1.83,"1,331.00","1,280.40","1,331.00","8,851",,,,,2024-12-15 01:55:11
NMLBBL,688.1,-0.28,700.00,687.00,690.00,"12,990",,,,,2024-12-15 01:55:11
NRIC,767.0,-1.03,784.00,765.00,776.10,"22,408",,,,,2024-12-15 01:55:11
NRM,450.0,-3.43,474.00,448.90,474.00,"24,082",,,,,2024-12-15 01:55:11
NRN,1030.0,-1.9,"1,070.00","1,017.30","1,040.00","69,967",,,,,2024-12-15 01:55:11
NSIF2,10.65,-0.19,10.70,10.53,10.53,"11,300",,,,,2024-12-15 01:55:11
NTC,950.0,-1.24,970.00,950.00,970.00,"15,518",,,,,2024-12-15 01:55:11
NUBL,704.0,2.47,719.80,670.00,688.00,"171,169",,,,,2024-12-15 01:55:11
NWCL,1015.0,-0.1,"1,029.90",995.00,"1,005.00","7,427",,,,,2024-12-15 01:55:11
NYADI,380.3,-2.29,402.00,380.30,396.90,"61,776",,,,,2024-12-15 01:55:11
OHL,938.0,-0.64,956.00,926.00,956.00,"3,539",,,,,2024-12-15 01:55:11
PBD85,1041.0,0.39,"1,041.00","1,041.00","1,041.00",25,,,,,2024-12-15 01:55:11
PCBL,264.9,1.03,267.40,259.50,267.40,"106,705",,,,,2024-12-15 01:55:11
PFL,657.0,-3.81,710.00,656.60,670.00,"52,232",,,,,2024-12-15 01:55:11
PHCL,553.2,-1.74,569.90,553.00,553.00,"81,215",,,,,2024-12-15 01:55:11
PMHPL,286.2,-1.31,296.00,285.30,295.00,"20,578",,,,,2024-12-15 01:55:11
PMLI,554.4,-0.11,559.00,553.00,554.00,"4,619",,,,,2024-12-15 01:55:11
PPCL,291.3,-1.92,301.00,286.00,297.00,"44,423",,,,,2024-12-15 01:55:11
PPL,528.1,-1.66,543.00,528.00,528.00,"22,324",,,,,2024-12-15 01:55:11
PRIN,975.0,-0.51,985.00,970.10,972.00,"9,206",,,,,2024-12-15 01:55:11
PROFL,676.0,-3.43,714.00,673.00,705.00,"65,214",,,,,2024-12-15 01:55:11
PRSF,10.02,-0.5,10.15,9.97,10.00,"5,600",,,,,2024-12-15 01:55:11
PRVU,225.0,-2.81,236.10,225.00,236.10,"150,406",,,,,2024-12-15 01:55:11
PSF,9.99,-0.6,10.00,9.93,10.00,"5,450",,,,,2024-12-15 01:55:11
RADHI,394.0,-1.25,413.00,393.00,406.90,"172,593",,,,,2024-12-15 01:55:11
RAWA,808.0,1.64,816.90,751.70,810.00,"15,162",,,,,2024-12-15 01:55:11
